sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
01405c6de6fe36a3938152361c0023ec	1	0.080901	GCA_020073005.1
0141e1c49e2e2164b8387b31133d53a8	1	0.060018	GCA_020073005.1
0145d33db192389c6f0811ebaffa88e4	2	0.197937	GCA_013122435.1
01544f7c902db2113905f38d29d61f90	1	0.338154	GCA_021323475.1
0158391b8b902710fb0cfd4549b5a00e	1	0.043144	GCA_003222945.1
015b676b8b43eb44ea448bfd4853ddc2	4	0.014252	GCF_001955925.1
01677510cf3fc7155b9b5b6c16596c03	1	0.026494	GCA_945860415.1
0167a6ffcb8cd5fa8e42d1cc0baed0da	1	0.133712	GCA_019637915.1
0199530ef80b6c6eb4bdbffcc04bbce2	1	0.2053	GCF_014641495.1
019d85a0c5c47382f82783363ac93a1c	1	0.00015	GCF_018598175.1
01aded8c0506fe971df122f50caa44d6	1	0.023547	GCF_002982075.1
01c123ad2084f1afccacc9f3f2923bbd	1	0.064292	GCA_019694875.1
01c4c76da0f2c553a05adefe6310a12d	1	0.224472	GCF_000009905.1
01c4f735549f90db9e69f07c068114df	1	0.003903	GCF_014203795.1
01d74003425292b302ef1e1ffd04c2db	1	0.241668	GCA_020720425.1
01dd9de2006e18117e9799ab698ce732	1	0.055868	GCA_016649875.1
01e98a14e03a3b27d7788be7af9783e9	1	0.035343	GCA_003222945.1
01eab8a2bdf36ce2b1a7c33bb0351ab9	2	0.170131	GCA_016719605.1
01f85f0e728884897c77cafedd75aed4	1	0.188518	GCA_021405315.1
01fa146843f564ad1e8a2178df3fc410	1	0.2078	GCA_019187195.1
01fa4f6ac22d76541b71f1bf97f8a254	1	0.066391	GCA_013816265.1
02098e8141b0264caa38e9f8c9225cf7	1	0.04373	GCA_020161935.1
02195c1465dbcc5aecc0ad8123b70b10	2	0.069393	GCF_017876115.1
022a4b7e64cf9e83d7702f76b665f2d0	1	0.287494	GCF_015169395.1
023063fb4000e5f84c1416afd454c544	1	0.056572	GCA_016713235.1
0245694e153993ba1fafb68edc159a32	1	0.033727	GCA_016702505.1
02495b6d0dd36d496e055ea256639ebe	1	0.061361	GCA_903933715.1
024c27a9b23c4443930b7fa54cb577b9	1	0.238976	GCA_023511675.1
024d1530bde785a3d09c57992d1c32d9	3	0.003788	GCF_020510625.1
0262db4b8218cd5461c3ea6d4a56a28f	2	0.071874	GCA_016704895.1
02647c4d438e5d5d85d9c60a8e091d08	1	0.05189	GCF_002197845.1
0266d16d52bf0e09d0adef4b25a93dc5	2	0.003855	GCF_000723405.1
0269d3329151cfe456c6005347b10580	1	0.021275	GCA_022844125.1
026cb818d9764e1d274ca629c7189232	1	0.094725	GCA_927443345.1
02723ae94420bbf509c63397b824cb0b	3	0.084282	GCA_018128945.1
0275bc8c4f5d797c6aceba7ecf06720a	1	0.007089	GCA_013359265.1
027c6e148373b3331d78c641b27a3067	1	0.086023	GCA_023428085.1
027ec7beead9c85789a387bde214d903	1	0.026208	GCA_019912385.1
029d09eb5e0764771a86d5ee1bc5d4e3	1	0.085903	GCA_024128875.1
02a013d14a04bfbd9b53512b9c6cfd18	1	0.090286	GCF_900115755.1
02a8f0e60ec454d6af78cd96f2d63478	1	0.100253	GCF_009906795.1
02b6ed1e3655779a1adc259a2918e9b8	1	0.312158	GCA_014132315.1
02df10f60cb9787f2b1e2bfd0c717c91	1	0.015361	GCF_000382885.1
02e8a798ff58741332d47f0aea64b12c	1	0.081908	GCA_019636345.1
02eaa1b63a63b1922f0de42282e1dd9e	1	0.084072	GCA_013816245.1
02f3b2858129962d88af9c5f2183c385	1	0.150874	GCA_013377075.1
02fb31ab571b06694d25b138c1752728	1	0.103049	GCA_009845425.1
03346a3294d18c5103964805fc3ef17d	1	0.038021	GCA_016713235.1
033766e0bdca7dad27f28cc55486d2d2	1	0.131993	GCA_019694155.1
0343a210aa46cbfa808ec75247923260	1	0.59128	GCF_001484045.1
0345a5b60495929014d9fc6d9b90672c	1	0.215297	GCA_016699835.1
0351ca9e8d4f6e767d9635d5506910b0	2	0.053559	GCA_020636075.1
036272dd7edbbb8fa1ace4f4f2a83fd4	3	0.067887	GCF_014384795.1
03694f11721186f3e9efa18900f92bed	1	0.022719	GCF_000382885.1
0379de623425c1df551aa04301581706	2	0.197937	GCA_013122435.1
03846e34389a816185d2a87d38c73af0	1	0.063173	GCF_007741515.1
038b7087cdcacae11d39b5548a0fe26f	1	0.137921	GCA_003142185.1
0397d5ced411d383bfc2189499f81b39	1	0.066082	GCA_013816245.1
03daccd943088d8a571ef982c4c0d954	1	0.130022	GCA_016872595.1
03e67a3f8f226be3ee474823f2a86ee6	1	0.020787	GCA_900110395.1
03eaadc103d5650328f9ce9c64dfffd5	1	0.0689	GCF_016629525.1
03fed91ab4ed380708916abee58cc870	1	0.246634	GCA_002418215.1
03ff6874f6ac59c0dcbf0d0c8879149f	2	0.033908	GCF_001262605.1
040dc9d4171ea9216ea773dd175644b0	1	0.107353	GCF_008386505.1
042556f25e81bbb948d854c8c4d7005c	1	0.075425	GCF_011492965.1
0438ec0725d019afa875eb2cb74ce816	1	0.038454	GCA_013426795.1
04418f68ec6eb5201dd9949412547363	1	0.381029	GCF_015169395.1
0457c12b3c3d63aaca04f618a5c2dc51	1	0.106384	GCA_018432935.1
045982cf830c7b49b2e19829853f7ad6	1	0.258093	GCF_015169395.1
0465bf3ae2ccd5da0bf97e0d96cd3994	1	0.224158	GCF_015169395.1
04696565c6b413772b57a65841bf9ec8	1	0.221004	GCA_024542975.1
04760d1fb2ce7ac7980152b177aee894	1	0.010061	GCF_009858245.1
047c10608a024b03544e0725beec7a20	1	0.033487	GCF_004364865.1
047da392641c2f7f14062051b2a963cf	1	0.094195	GCF_015169395.1
048628e383cd63ab025f4367b007e03d	1	0.348734	GCA_013177895.1
048d5c723cf704b5ace16f16e60e0782	1	0.075485	GCA_016710435.1
0498771e262500f19bb8601c8b41d92f	1	0.058782	GCF_004834005.1
0498d1039357c2da95a753eb108bac61	1	0.128788	GCA_016712885.1
04a89eeb4915a2ed121069831736394c	1	0.193624	GCA_019694475.1
04aac40c54f624f0bc72f2850b380d01	1	0.178033	GCA_903844155.1
04b0d78d8d78695d30db3483fd1cc0bd	1	0.153914	GCA_004144175.1
04bb4498451aeb519ab2d9043f50be7f	1	0.232568	GCF_002872415.1
04c6fe419722df3d8da566a2064530a4	4	0.004112	GCF_022479115.1
04c7058667f2f64220f820ecbdd0eac1	1	0.053292	GCA_022844125.1
04ca54b216f9cf09dfb8a00018c7b7dd	1	0.090538	GCA_020356025.1
04d00cd6d46893b2d305f5faad33fb3e	2	0.04383	GCF_900091425.1
04d9a03bb3d9fab112d8fee5da67a66b	1	0.055894	GCA_903910385.1
04dc3e026118139444af391cbe521c39	1	0.859569	GCF_001484045.1
04e45d33e7858d61e3a99bf318dc1ffb	1	0.012864	GCF_900104925.1
04e4c1ca3791f33515883f0fb96cc04c	1	0.057037	GCF_003194585.1
04e6b2a44352ae7de37d6a7f285ee833	1	0.011274	GCF_004770895.1
04ec92885d1a999a94e9a245df2fb90a	1	0.182201	GCF_014332515.1
04f2ae0b47c9bf05fe221236d6e97e73	1	0.030482	GCA_016712025.1
04f785d661210e118b7a0ecc4136ff0e	1	0.053852	GCF_004834005.1
04f84caaedacb7e0f10e4f6ab648fc77	2	0.057091	GCA_023954495.1
04f97ba3b728787af65947771111dedd	1	0.102362	GCF_000756815.1
04fd971022758d2080788edf554b87e0	1	0.027982	GCA_002345205.1
051491b5b2aaf0419a8351ee5ba0c128	2	0.037912	GCF_020866845.1
0530084e0ddc1383b84590cfbc8b81a7	2	0.142312	GCF_022496765.1
0539f555816c5cd3f9aa97537a0e5ded	1	0.380013	GCA_023565505.1
0557dfe2aa0c27f6e5f4fe0e004e710a	1	0.173617	GCF_001881495.1
05587a2773cada77cf77c368a56ff40d	1	0.084937	GCA_021802825.1
0578c02806b7c9afd963b1c5db28879a	1	0.459829	GCF_001484045.1
05837b158788d4f426bf0e7386c7fd80	1	0.07214	GCF_014647515.1
05877d0d3533da4c6b18972b3f77cfad	1	0.155724	GCA_016865895.1
058fddee7da61560c4f88a368b2c3051	1	0.029165	GCA_017883415.1
059004eff6306b6a62a4fa8befb77094	1	0.160304	GCA_023150805.1
059687791d889e7a5b8c98679e2aa83a	1	0.048038	GCF_019075875.1
0598af487acf65439dbcc792f3047a9a	1	0.176318	GCA_022009755.1
05b00c6a0bedeeb8a9c12cb42d3d798e	1	0.034543	GCA_009377795.1
05b074d72bacf090a2236885dbe04815	1	0.00015	GCF_000878135.1
05bb0bc1780b6581abee6a9501596ddb	1	0.031118	GCA_019686135.1
05cd472b1eea55b4611584c8820e9c26	1	0.00015	GCF_902506165.1
05d7bb95b66fc8d3792211892974523b	1	0.192659	GCA_024655925.1
05dc9949ef5c48516a94f6599c0da388	1	0.226665	GCA_016200145.1
05dea4e3cf93c880e10e0b9ba3380de3	1	0.078978	GCA_002279935.1
05e73db848fbb6058d0ff4271e788604	1	0.011206	GCA_016709225.1
05ef0eadaf0170e93281f0f3d7434f66	1	0.048233	GCF_002091635.1
06024e00e4c24162a1be39ecba30cc48	1	0.023194	GCA_016870325.1
06025a0f3a31988b05923494a3fbc29a	2	0.364814	GCF_000021725.1
06197b2f5479f00bfb8b2ab9a39484cc	3	0.03208	GCF_019263595.1
061f67d5320ea27074c246d0ddebc718	1	0.178078	GCF_008087625.1
062187893c5127441bb6400ddf0f490e	1	0.193294	GCA_001644975.1
0627ab20d39425e709e86fa4755a8c52	1	0.098554	GCA_023438785.1
062eb4494ef53df412299f4a445737c2	1	0.112961	GCA_020629695.1
0633b7bd61e5316de3cccd0d74dbc9fb	1	0.082599	GCF_018598225.1
063740e615700c64dee203019b5723d1	1	0.12189	GCA_945875585.1
064679636e978edbcdacc4bf1309df48	1	0.130691	GCA_013112715.1
065643f39abe86bc5666f2ed2429a201	1	0.125503	GCA_022450045.1
065c64c0d0201135cb550232b88f74b6	1	0.166139	GCA_002238485.1
066557d1aebf8b41882670d76f2b58c5	1	0.010892	GCF_002995745.1
0673f71da6687584b055f9c6aef442ab	1	1.504193	GCF_004335995.1
06779dee67cd2b94890de9038a379117	2	0.140622	GCA_016713325.1
067a837d73b0baaedb4a80b548506e75	2	0.043754	GCF_002896855.1
0682afcac4d4919b87e5f3e29aaace6b	1	0.04482	GCF_002251835.1
06bffb7f02192591251708dc9e0ca24e	1	0.052731	GCF_003428645.1
06f52da4a4f4d4afb90c0a676554e923	1	0.145229	GCA_019509785.1
071601510cabc8698cc552aa2114ea9e	1	0.045386	GCF_001592005.1
0721f4b6a5aeae6673b4f7b15d52ba45	1	0.435595	GCA_002069885.1
0725eee074d2c8392b78eacf3e595d04	1	0.028078	GCF_900113315.1
072b8b47e014b7da71b30aeb99712e3b	5	0.010378	GCF_000445105.1
07369292f8d71fc55822a6ec0a682070	1	0.062458	GCA_015472025.1
07411082bc8d3575a2c0f43476c0c35c	1	0.08994	GCA_945861025.1
074683113ecbb6c4e23a22e7a28e5993	1	0.058449	GCA_021829645.1
0746d3386394e0b00baaa1a331f00ffc	1	0.00015	GCF_014191545.1
074d4ed12892a76a6362dc4c5ae5fa1c	1	0.10529	GCA_019639175.1
076103da9dc940851597a479fef35f3c	1	0.022318	GCF_018598585.1
076a3cdae4e19b9ebd3b1e867d50d50d	2	0.054434	GCF_016765655.2
076d8911d29f931f0d4fa32c1c10cde8	1	0.104755	GCA_020161935.1
0771b0f81ae6cdf547054262a10b0b0b	1	0.060286	GCA_021802825.1
077f232887ddce06b74ae79d93bf640f	1	0.389569	GCA_021158845.1
077f7569f60ab2cba8729a7431fc9eb5	1	0.150218	GCA_013285465.1
07853a7d67f9fdb658c314124af4579a	2	0.022306	GCF_014695975.1
078cdbc288edeac9b14375fd53e917e0	1	0.108778	GCA_000961575.1
079139d90c0254bab75101f18c94d98c	2	0.054054	GCF_000522985.1
07a4b81e33319f809cfaff0084f8ee8d	1	0.11327	GCA_022823605.1
07a93fa52bbc3813958c2bf0156830eb	1	0.122082	GCF_900108055.1
07ac02498fb80f38ebff93b14e8025c4	1	0.058433	GCF_007741515.1
07acd38e7cc706ec281b842a5d388a8f	1	0.057873	GCA_016703895.1
07c63f523c057607d3227c59f5700021	1	0.045329	GCF_009806515.1
07d240a0ee59aceab7d665f2b69a204d	2	0.143767	GCA_016717335.1
07d62bf8e1f9162673cd90a83d3e077c	1	0.089545	GCA_945861025.1
07e5f878d99a5dd5815efff858f79bc0	1	0.224158	GCF_015169395.1
07ea5252a18b6832d8750b6e2dc7d4a3	1	0.129103	GCA_021768245.1
07f67131295f1b746ed5096075436e78	1	0.095116	GCF_009866965.1
080e82810816d56c20251fca537c0985	1	0.205231	GCA_004138175.2
0820ac94790f029bcf1cd2e3354ee05a	1	0.032422	GCA_021781455.1
08282eea2cbde065b12f5fe7422d3286	1	0.089123	GCA_013822735.1
082b1886075a9d8f3b6a7ad8cd98b70a	2	0.140622	GCA_016713325.1
0837a22baf2b77dcd95006407de23009	1	0.729805	GCF_001484045.1
0843072b132461b1bb1a6fb0733d05da	2	0.022726	GCA_016721905.1
08519b34ea04163427fa0691801959c1	1	0.022079	GCA_001769275.1
085758aa79357af4f0d4a166a718da10	2	0.110065	GCF_000526155.1
085c739d3999a16f68f0761ca07d31e8	1	0.121952	GCA_003220225.1
086334f969f6fee10d60a0c4a104640d	2	0.084944	GCF_000169155.1
0864fece30307111adbba252d8205299	1	0.219858	GCF_014202505.1
086bc63bf251929f3f8f244cf7ddec4c	1	0.243379	GCF_002872415.1
087a57c761454d356afdf4982684399b	2	0.003824	GCF_001427635.1
087dcf820c1e86ee1f2b96332bb8d458	1	0.173074	GCA_001644975.1
0880a4032f36ff14aaafb67e65770bb8	1	0.01137	GCF_003633755.1
08891e0b1cab55f48301e9d48989e62c	1	0.142139	GCA_016870155.1
088b1cbe313aebdc27606da3f086064b	1	0.171095	GCA_016710365.1
089cb0e5c6ce3cc1edb1dffc6476a2e5	2	0.140622	GCA_016713325.1
08a285dac54f89b17fa04f44a6913351	1	0.230303	GCA_016710365.1
08b09190029dee68cc11543d9c683910	1	0.081452	GCF_014202995.1
08b50fb35f66fc1dda575c74b8146cfa	1	0.136031	GCA_015075375.1
08bd3b925a2db07815045931ff8c9916	1	0.192659	GCA_024655925.1
08d412279fd327679f94ab4760fafba7	1	0.00377	GCF_016862315.1
08d581e776fe64cef479195e858a9cdb	1	0.098793	GCF_001592745.1
08d86bf8c2c35abe367c31f3ece7adca	1	0.203752	GCF_007859765.1
08da4eaafa954e70d9350b69867d5325	2	0.122012	GCA_023957015.1
08dde7e2f62e04c90438bef5d712be02	1	0.173617	GCF_001881495.1
08e4809a4f6b7f3beba6bbafc63286f5	1	0.076242	GCA_023428085.1
08e560fd8084e1b630e0395a78c0d01d	1	0.022364	GCA_903935335.1
08e870e6b8ec1094b65886b9395e1a2e	3	0.313522	GCF_940143175.1
09017136e91d37b1dd86331ca9445c1c	1	0.130209	GCA_013817545.1
09064cba8221c91bf3f440c81e7d48d9	2	0.003753	GCF_020866845.1
090fa37bcece41300a3e9667267098b6	1	0.12171	GCF_900108055.1
0910864c3bee6633f9b7645c63e02a11	2	0.058866	GCA_016704895.1
0913ef6fe588741ef64425f27b55fa5f	1	0.181974	GCA_019694455.1
091dbff8f69d2de742c4030e377854a4	1	0.050818	GCF_001686985.1
092197d3b7080fb4016db7ccfd914c2d	1	0.038464	GCF_900187945.1
092e286e9fffc511906a08d7e0597cda	1	0.192659	GCA_024655925.1
09352b5943e7cbb9567456a318f6ab8b	1	0.018704	GCF_003347205.1
09486fd48f648aa7972feff1acaa3eb9	1	0.038444	GCA_023442525.1
0948eae3e302e5c419b183b1c8d8f52a	2	0.012144	GCF_001262605.1
095275dbb143b64efc057f828cc2342c	1	0.045907	GCF_009909145.1
095bb0ab86028c9d12f86acedf766c38	1	0.280506	GCA_015163855.1
095d8f142bbfcbe03521897a8418b6e7	1	0.234644	GCF_007751035.1
096a22e4f42377f16a52bacc074522dc	1	0.146922	GCA_015075625.1
0972f3a71cb732208594031debb1a7c2	1	0.048038	GCF_019075875.1
09851317c705348bf92e3fc9089b32f2	1	0.127346	GCF_900108055.1
099427242ccb1550aaf8813ab647ac65	1	0.035379	GCA_023398955.1
099e5a74241022cece10ade4dc06bce7	1	0.106658	GCF_024758565.1
09a632badbda4f43d7afd620c723243a	1	0.158894	GCA_016704445.1
09dc58c6a2c9da83ca1e06c9517426de	1	0.171547	GCA_013791745.1
0a05f18116b0417d63eb9e7fa8883b0f	1	0.007474	GCA_014208095.1
0a0e5b5b2f1ffdcbd82eff360ac6dad0	1	0.21147	GCA_002238485.1
0a0fb822a862796a3c317d7a32773988	1	0.059673	GCA_001516055.1
0a1839a35c5f5a1bc16a3d6449970eb6	1	0.1137	GCF_920888515.1
0a2d297cf9e9e4b3fddf929b295bc3f9	5	0.114047	GCF_000346485.2
0a321c0d612a5cd5131ffe3cd6207508	1	0.013508	GCF_003752155.1
0a3a1ff535fc31ccacefb0bdc17a3b6a	1	0.459829	GCF_001484045.1
0a3a25fe271fa3dbb0951048645fa9a1	1	0.060471	GCF_900110025.1
0a3c6824fb282a2942a430b83226a069	1	0.03669	GCF_004834005.1
0a48ab15e724f72c6fecb0655668dc96	1	0.00015	GCF_000312425.1
0a623cf5e44715a2c9592e7456510bd7	1	0.254562	GCF_900240265.1
0a72c2cbe5b3ed668bf00ad0b39edfb7	1	0.00015	GCF_900103775.1
0a8b21be8baa7286ebcbab293e7f51bc	1	0.122768	GCA_002168115.1
0a8d9d136562124ee22e88a97a95f770	1	0.00015	GCF_012184385.1
0aa3e683f28449df15787333a9311aa1	1	0.161164	GCF_000152145.1
0aa415e2ba6a661bead2121028d9370a	1	0.00015	GCF_008000895.1
0aa7a84bb5a00f79e581f34b5f79c662	1	0.065537	GCA_021773365.1
0aa9c25ef65bfba5cfbefba65cd9e803	1	0.179742	GCA_903844155.1
0abcc93a26d9dc92163ed57dd5780a5a	1	0.003704	GCA_002839285.1
0ac42b93a32c4c56915e168bc3e2a1d2	2	0.081983	GCA_902806405.1
0aceae3e7a6f9791608a5cde714490b3	1	0.093068	GCA_016870325.1
0ad1577c561f276095b84599009fd5e4	1	0.046009	GCF_014845115.1
0ada64df20e6449f253a1619d67622fe	1	0.056153	GCF_021699055.1
0adf7661e5c9a60f6253b3306ec40028	1	0.102225	GCF_016615815.1
0ae873a30ca144ab7e5b9ed68d5234c3	1	0.029731	GCA_009926845.1
0af74c01ad6dcb13c48aec8bfa11bac0	1	0.206315	GCF_011064595.1
0b13af019fa726abb0c0feba93ee726a	1	0.042566	GCA_024230315.1
0b226ff67fe1b36df5ffc31fa525f2d8	1	0.043467	GCF_003703975.1
0b233be190e184d71a5ddeea95a7b2ab	1	0.110785	GCA_002085155.1
0b45da600b9ae5ac401868da0690cd58	1	0.044056	GCA_019459525.1
0b474601046ca9623c78bd03a35db043	1	0.217659	GCA_020161935.1
0b483c1cc02d1dbdae03943e2469c760	1	0.003745	GCF_000160775.2
0b51b1689c22be94b40ed4dcd3d1dc96	1	0.62852	GCF_001484045.1
0b52db6154d7dd08345a18a695c0fb4a	2	0.059327	GCA_024707385.1
0b6777bb3abb26a6e301d2e211796d48	1	0.05009	GCF_000482545.1
0b77e1503fb2dcd6576245fbb3031409	1	0.055002	GCA_016871275.1
0b78553a4835fc63e1da540ad38d0270	1	0.003797	GCA_020027655.1
0b79e2c5308c9ebbaa8af5242e97d58a	1	0.077262	GCA_009691845.1
0b9b11a2d647d583a5bb6afa41fb07ad	1	0.01856	GCF_001010945.1
0b9d4c462d657e263e2597d9a5bdcdad	1	0.018229	GCF_021044935.1
0baf7ad7b964b1a79cded6ec9ee050ca	1	0.088518	GCF_013112485.1
0bbed3a4d5594d299815ec4bd1eb80a8	1	0.087578	GCF_009823805.1
0bc3c670e08a57923ef73256657927cb	1	0.118326	GCA_945907765.1
0bd5b78e18f7813cf4615173a479cec7	1	0.030144	GCF_003367395.1
0bd8e26b2f744889446c36269d5abf7f	1	0.031496	GCF_009932555.1
0bda7468e61bc1bf917a55278cb0e51e	1	0.037044	GCF_004364865.1
0bddc726ba03cfb6b7fc2d986fd517ba	1	0.149967	GCF_014202995.1
0be1d0ef3f3f47cae282a851f448afd2	2	0.135522	GCA_023957015.1
0be7d1601127fa0400a868ebe3098e66	1	0.205271	GCA_016703425.1
0bf7f80c1637fe7bf8b80fb50bd42180	1	0.061022	GCF_900187945.1
0bfa111c6bf560230332e7bd5c857c19	1	0.201846	GCA_014382585.1
0c03a892ce09a0eccfdbdc1144b61fe0	1	0.127176	GCA_903892045.1
0c0bf38ea52c05a86ef71059dfa87fcc	2	0.209532	GCF_000016665.1
0c119c9a2e3aec39d0cd635e8a8e4347	2	0.2095	GCF_000016665.1
0c1588fa28cc4e51970a81953867347f	1	0.133852	GCA_016872775.1
0c18b85116708d55b6cbea237b96525b	2	0.048388	GCF_001183865.1
0c2151d1ade3c5fab9989507c38ac4ad	2	0.067791	GCA_902806405.1
0c36342cb5a446fafcd04ffebe043817	1	0.104239	GCA_016870325.1
0c39eb5cd9324ca69e05348be1e2e855	1	0.248716	GCF_014202505.1
0c424ce0ae79efea529fe4e380593c0c	1	0.03563	GCA_019913005.1
0c4e73d5219198c3ed9de8616739d90a	1	0.120741	GCF_900108055.1
0c531dfdd310cb5665ab509f8f5e662d	1	0.271137	GCA_021848625.1
0c61bbf9409b290a1b15ac6a37cb0e65	1	0.042095	GCF_014845115.1
0c701bc0e4bb72958301419c2e72fa0c	1	0.086554	GCA_019636345.1
0c8366fe1914656b2a51d37a458c1991	1	0.125075	GCF_900108055.1
0c9c0637de969ffca10cd26772200869	1	0.106247	GCF_014647515.1
0c9f8233ab5444e52e22efb679e2dc14	1	0.030227	GCF_018598585.1
0c9fcffc58c3af0d49ddc6ac75ec211d	1	0.082046	GCF_000420625.1
0cafc993e33fdadf48638b3e37d75ea7	1	0.130285	GCA_002284855.1
0cb7b7abbf085cf521d04f7e732dbdeb	1	0.027905	GCA_945871905.1
0cbb2d1c99bf2b36a25f7ed8f253da02	1	0.07291	GCA_016712355.1
0ce2e4fcefaeb6ab741feb59bada0853	1	0.015053	GCA_023954375.1
0cebacdfe42c21132b29817b22be7a95	2	0.315476	GCF_007743815.1
0cef77dcae38097327df44f4dc548745	2	0.011245	GCF_007994075.1
0d02727f2ed78f6091ab8777b9dc170c	1	0.26955	GCA_023898765.1
0d15b9f52ac3fc51d511e5627c2af431	1	0.024658	GCF_003351045.1
0d1882202b8b0db807ed67e86272e56e	1	0.194541	GCA_018969015.1
0d2169db7d90e0c57551a9f046386009	1	0.113014	GCA_014132595.1
0d3a6db6984a8e78c536731351dcd2d7	3	0.055995	GCF_009792895.1
0d4289f886f22b01a518de929da75c78	1	0.156309	GCF_013340285.1
0d52bd6a3f3f755156dd2c9cce6114d4	2	0.062143	GCA_013414665.1
0d52ca927fbba6b267fa63c862a38d8d	1	0.046609	GCA_019912385.1
0d56bf50f903f404338a079f09275dd7	1	0.00015	GCA_900471815.1
0d5944a34cb820b43dc17f40f4603681	1	0.00015	GCA_900110395.1
0d5fd3be65951b4c298fa0dd3cb26e99	1	0.036315	GCA_018401465.1
0d694117d605d31e8446e9e6f9c4fa4e	1	0.281623	GCF_015169395.1
0d7abb98e4f54c2c88e327c7a0f6986e	1	0.13069	GCA_015075625.1
0da025d00210541e9ab399f4295f57d2	1	0.196128	GCA_016792845.1
0daccab15afb7514f47e53b1e073efac	1	0.139805	GCA_013822735.1
0db197ff892fb37f4ee1dd97b8840548	1	0.062823	GCF_004834005.1
0dbe70af1512a868f8714300cb4c68d5	1	0.049114	GCA_016703895.1
0dc411671b878da85cea58c53b4bd03f	1	0.233575	GCF_900187945.1
0dd0282527f32d7534e8b25bd8070e05	1	0.062521	GCA_024235995.1
0dd417297a1a6d30ebe3c859ee67f944	1	0.466326	GCF_001484045.1
0dd4a5aba6307cd6dec2fa5978a8acd2	1	0.003948	GCF_010548305.1
0deaffe72036b09fba1257cd9c848402	1	0.039505	GCA_003222945.1
0e236a0b693f7e79f623c55890300f0b	1	0.289248	GCA_009377665.1
0e2c88f860cf63f62b5f37e2e2fd3a42	1	0.224011	GCF_014202505.1
0e3279d57d7e5d9f0f3f3cdbfa56a60e	1	0.073531	GCF_018449475.1
0e393b3f4acda9850d5cdaa25d8daebe	1	0.063169	GCA_002337125.1
0e3ec045d40d6c28e8b5a2c892d958c4	1	0.010513	GCF_019048865.1
0e4fdf5731da86cdcaa8abbbcb6ab357	1	0.120207	GCA_016870485.1
0e540a60557a4420e97f720801af8e0e	1	0.057842	GCF_007971225.1
0e5851653e212ea2fd3cffe43b071d42	1	0.054239	GCF_009909145.1
0e64d000e599b67949f271c591c20fee	1	0.104997	GCF_900104485.1
