"ASV","rho","Domain","Phylum","Class","Order","Family","Genus","PCoA1_end"
"d73208f1ee37c6fc977ee804cde0c6f5",0.747747252665933,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","","High_PCoA1"
"87df14efae8b75990eaf7c2785573afd",0.908322244021742,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","","High_PCoA1"
"9c5ffa633c46acf767447b7ce4fa276f",0.778727538379858,"Bacteria","Firmicutes","Clostridia","","","","High_PCoA1"
"344290542e48f66d0f4415ffa9a38c5d",0.781934211265072,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","High_PCoA1"
"2b5d51d5f573cda72d782aba735844c2",0.722646736625886,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17","High_PCoA1"
"dbc7b810cb19121f0e209fac0c2f065d",0.726194431649079,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","","High_PCoA1"
"a5c7a67826a19f8f3856301c29b3a8a4",0.745964103759449,"Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella","High_PCoA1"
"803719094227b34fcc7bf69527d85ab5",0.811590004395969,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","","High_PCoA1"
"6b313942075b92a6bbbfd7dbd1ab9301",0.753185716251706,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","","High_PCoA1"
"ba6d2e69bc1659aa99a71c88bee74244",0.803060074935636,"Bacteria","Firmicutes","Clostridia","Lachnospirales","uncultured","uncultured","High_PCoA1"
"0f1941282c37404429c575da250ee913",0.750719222027528,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","uncultured","High_PCoA1"
"770d3f50dccf0cbcde3f94868ee5956c",0.792014431115907,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Anaerospora","High_PCoA1"
"34da28d6850c8045113bd0a441830e9f",-0.711806424369855,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"897312a270a1b27b1d0ba46cc5ae2c5c",-0.776423189203525,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","","","Low_PCoA1"
"bb1f91cc6d10307e3d8fc9ebba333cfd",-0.763383386104291,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"0a8d9d136562124ee22e88a97a95f770",-0.805742679748195,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria","Low_PCoA1"
"fe623c5d70b8a87ad28a4f58e8e9ea4f",-0.764660739457032,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"7409beb9b1b4200bf07884b6cece1783",-0.762687097506273,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","","Low_PCoA1"
"47720993325c0e43a06711ddb678b19c",-0.727119894764849,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","","","Low_PCoA1"
"2dedeafb50e2443de34ef467e55a2668",-0.778768285168019,"Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Low_PCoA1"
"affc2ac2edb78f316243b0e74a694d53",-0.831618062224097,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Low_PCoA1"
"38c7205f0c1c491546cf9cc24d6d9e3b",-0.75302668435613,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","","Low_PCoA1"
"5acb983e124e1c4d5e00db51183c3f02",-0.808537730925791,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","","Low_PCoA1"
"5f84aa1b074be2ffafa806b1b8e491dc",-0.724437723807835,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured","Low_PCoA1"
"06197b2f5479f00bfb8b2ab9a39484cc",-0.829996868802839,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Low_PCoA1"
"2e2f5a6ef114389a4d44565174c67ed3",-0.784189066381532,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","","Low_PCoA1"
"3747b2acb8a994ba20ced42ece796aa3",-0.77984905848078,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"1bb4402bc80b4f6621e91f3e94fbd9dd",-0.800252118715107,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"9ab10dfc051133e224adbf87e5d884a4",-0.721681582502569,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"0adf7661e5c9a60f6253b3306ec40028",-0.791083320899336,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Low_PCoA1"
"be52b7dbb461d608bdc1388d48932d01",-0.830809492621227,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"aa1edb048e8a552bd6062781e1ee219b",-0.785835363571013,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Low_PCoA1"
"b0d8755a6d7adca0e6b489ded144b01b",-0.744770160054769,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"62c3d76fbba7f11b6d6b390ffd44ec2c",-0.703829712796762,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
"8d1ed418b92167e67ff4d759d752cbd4",-0.738298224764631,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Low_PCoA1"
"5e21eaa528d616566553dc7238f463e5",-0.792288364168406,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","","Low_PCoA1"
"1b6ac0d1e89f84b91518c11bd5ad9ae9",-0.723813034615589,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Low_PCoA1"
"4fc4172d3dbb80d836d242726d97e17c",-0.704597596836543,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Low_PCoA1"
"ce03f7dd3b3f5a575df8d0dc49bf5b8b",-0.742706793026185,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Low_PCoA1"
"f643ef74a586c7878b3eb1202d948692",-0.83855547437637,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Low_PCoA1"
"c833bf83cc1e14720a79f8919b4ab590",-0.839056465922138,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora","Low_PCoA1"
"8d2d97e08954fe18708cb2dc79907f5e",-0.779187686271511,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Low_PCoA1"
"43042724b64d848e467f7de55021d617",-0.831445897612323,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","Low_PCoA1"
"b943f6d8803e5b8d954ff7cf992d3ad5",-0.701218207354818,"Bacteria","Actinobacteriota","Actinobacteria","","","","Low_PCoA1"
"3e9135265ed0b72f51f7bb228dbbc086",-0.81262010447023,"Bacteria","Actinobacteriota","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces","Low_PCoA1"
"ae53c7ff19a53819d86397222d8c7123",-0.733402344157667,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b","Low_PCoA1"
"5de3df6e0d00086a246af6b66ce62ec1",-0.708596006299387,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","","Low_PCoA1"
"61ca977f94c6c2c945a7f152d4c94f56",-0.854718167495773,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","","Low_PCoA1"
"1d821f579d8bf84064df650ad2dbe5ee",-0.733051273190458,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Low_PCoA1"
