"SampleID","trophicMode_clean","Abundance","RelAbundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"1WLC1F","Multi-trophic",1961,0.207315783909504,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC1F","Pathotroph",3823,0.404165345173908,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC1F","Saprotroph",1014,0.107199492546781,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC1F","Symbiotroph",609,0.064383127180463,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC1F","Unassigned",2052,0.216936251189343,"Pot-1","Wet","Low","Conspecific",1,"Fungi"
"1WLC2F","Multi-trophic",704,0.0501281686129308,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"1WLC2F","Pathotroph",24,0.00170891483907719,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"1WLC2F","Saprotroph",1085,0.0772571916832811,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"1WLC2F","Symbiotroph",77,0.0054827684420393,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"1WLC2F","Unassigned",12154,0.865422956422672,"Pot-1","Wet","Low","Conspecific",2,"Fungi"
"21WLH1F","Multi-trophic",2678,0.0661201915954768,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH1F","Pathotroph",36,0.000888844995308874,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH1F","Saprotroph",16741,0.413337612957385,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH1F","Symbiotroph",194,0.00478988691916449,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH1F","Unassigned",20853,0.514863463532665,"Pot-21","Wet","Low","Heterospecific",1,"Fungi"
"21WLH2F","Multi-trophic",3455,0.130117124242082,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"21WLH2F","Pathotroph",6705,0.25251384024404,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"21WLH2F","Saprotroph",7149,0.269235114676308,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"21WLH2F","Symbiotroph",34,0.00128045795202049,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"21WLH2F","Unassigned",9210,0.34685346288555,"Pot-21","Wet","Low","Heterospecific",2,"Fungi"
"22WLH1F","Multi-trophic",3261,0.117335924006908,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH1F","Pathotroph",1861,0.066961715601612,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH1F","Saprotroph",9641,0.346898388025331,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH1F","Symbiotroph",1339,0.0481793321819229,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH1F","Unassigned",11690,0.420624640184226,"Pot-22","Wet","Low","Heterospecific",1,"Fungi"
"22WLH2F","Multi-trophic",2993,0.081970804918796,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"22WLH2F","Pathotroph",615,0.0168433160792047,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"22WLH2F","Saprotroph",14173,0.388163119984663,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"22WLH2F","Symbiotroph",945,0.0258811929997535,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"22WLH2F","Unassigned",17787,0.487141566017583,"Pot-22","Wet","Low","Heterospecific",2,"Fungi"
"23WLH1F","Multi-trophic",1036,0.0521966948810963,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH1F","Pathotroph",24,0.00120918984280532,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH1F","Saprotroph",7247,0.36512494961709,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH1F","Symbiotroph",79,0.00398024989923418,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH1F","Unassigned",11462,0.577488915759774,"Pot-23","Wet","Low","Heterospecific",1,"Fungi"
"23WLH2F","Multi-trophic",10623,0.596094495258403,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"23WLH2F","Pathotroph",204,0.0114471690701981,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"23WLH2F","Saprotroph",2886,0.161943774198979,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"23WLH2F","Symbiotroph",0,0,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"23WLH2F","Unassigned",4108,0.23051456147242,"Pot-23","Wet","Low","Heterospecific",2,"Fungi"
"24WLH1F","Multi-trophic",1402,0.0352500439996983,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH1F","Pathotroph",224,0.00563196138083625,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH1F","Saprotroph",5015,0.126090563950419,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH1F","Symbiotroph",49,0.00123199155205793,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH1F","Unassigned",33083,0.831795439116989,"Pot-24","Wet","Low","Heterospecific",1,"Fungi"
"24WLH2F","Multi-trophic",6538,0.138737400530504,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"24WLH2F","Pathotroph",518,0.0109920424403183,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"24WLH2F","Saprotroph",14944,0.317114058355438,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"24WLH2F","Symbiotroph",255,0.00541114058355438,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"24WLH2F","Unassigned",24870,0.527745358090186,"Pot-24","Wet","Low","Heterospecific",2,"Fungi"
"25WLH1F","Multi-trophic",602,0.0237437879624517,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH1F","Pathotroph",3,0.000118324524729826,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH1F","Saprotroph",5748,0.226709789382346,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH1F","Symbiotroph",318,0.0125423996213615,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH1F","Unassigned",18683,0.736885698509111,"Pot-25","Wet","Low","Heterospecific",1,"Fungi"
"25WLH2F","Multi-trophic",2544,0.0856104455512182,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"25WLH2F","Pathotroph",7587,0.255317000942253,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"25WLH2F","Saprotroph",8775,0.295295463723247,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"25WLH2F","Symbiotroph",525,0.0176672499663481,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"25WLH2F","Unassigned",10285,0.346109839816934,"Pot-25","Wet","Low","Heterospecific",2,"Fungi"
"26WLH1F","Multi-trophic",2148,0.0360016090104586,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH1F","Pathotroph",269,0.00450858138911236,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH1F","Saprotroph",12802,0.214568248860284,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH1F","Symbiotroph",888,0.0148833467417538,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH1F","Unassigned",43557,0.730038213998391,"Pot-26","Wet","Low","Heterospecific",1,"Fungi"
"26WLH2F","Multi-trophic",881,0.0160631586624366,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"26WLH2F","Pathotroph",4,7.29314808737191e-05,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"26WLH2F","Saprotroph",10784,0.196623272435547,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"26WLH2F","Symbiotroph",55,0.00100280786201364,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"26WLH2F","Unassigned",43122,0.786237829559129,"Pot-26","Wet","Low","Heterospecific",2,"Fungi"
"27WLH1F","Multi-trophic",3516,0.179031518916442,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"27WLH1F","Pathotroph",419,0.0213350985284383,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"27WLH1F","Saprotroph",6957,0.354244106115383,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"27WLH1F","Symbiotroph",190,0.00967462701766892,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"27WLH1F","Unassigned",8557,0.435714649422068,"Pot-27","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F","Multi-trophic",6799,0.486407211332093,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F","Pathotroph",3,0.000214622978966948,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F","Saprotroph",1329,0.095077979682358,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F","Symbiotroph",18,0.00128773787380169,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH1F","Unassigned",5829,0.41701244813278,"Pot-28","Wet","Low","Heterospecific",1,"Fungi"
"28WLH2F","Multi-trophic",24451,0.835160706356526,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"28WLH2F","Pathotroph",30,0.00102469515319193,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"28WLH2F","Saprotroph",2262,0.0772620145506712,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"28WLH2F","Symbiotroph",99,0.00338149400553335,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"28WLH2F","Unassigned",2435,0.0831710899340779,"Pot-28","Wet","Low","Heterospecific",2,"Fungi"
"29WLH1F","Multi-trophic",890,0.28598971722365,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH1F","Pathotroph",12,0.0038560411311054,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH1F","Saprotroph",1079,0.34672236503856,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH1F","Symbiotroph",0,0,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH1F","Unassigned",1131,0.363431876606684,"Pot-29","Wet","Low","Heterospecific",1,"Fungi"
"29WLH2F","Multi-trophic",2400,0.366300366300366,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"29WLH2F","Pathotroph",0,0,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"29WLH2F","Saprotroph",1477,0.22542735042735,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"29WLH2F","Symbiotroph",0,0,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"29WLH2F","Unassigned",2675,0.408272283272283,"Pot-29","Wet","Low","Heterospecific",2,"Fungi"
"2WLC1F","Multi-trophic",1258,0.371310507674144,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC1F","Pathotroph",0,0,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC1F","Saprotroph",342,0.100944510035419,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC1F","Symbiotroph",107,0.031582054309327,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC1F","Unassigned",1681,0.49616292798111,"Pot-2","Wet","Low","Conspecific",1,"Fungi"
"2WLC2F","Multi-trophic",222,0.0387637506547931,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"2WLC2F","Pathotroph",20,0.0034922297887201,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"2WLC2F","Saprotroph",1315,0.229614108608346,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"2WLC2F","Symbiotroph",1135,0.198184040509866,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"2WLC2F","Unassigned",3035,0.529945870438275,"Pot-2","Wet","Low","Conspecific",2,"Fungi"
"30WLH1F","Multi-trophic",3454,0.0513682331945271,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH1F","Pathotroph",146,0.00217132659131469,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH1F","Saprotroph",37597,0.559146341463415,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH1F","Symbiotroph",90,0.00133848899464604,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH1F","Unassigned",25953,0.385975609756098,"Pot-30","Wet","Low","Heterospecific",1,"Fungi"
"30WLH2F","Multi-trophic",3195,0.172777417261518,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"30WLH2F","Pathotroph",347,0.0187648712956954,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"30WLH2F","Saprotroph",3672,0.198572355613238,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"30WLH2F","Symbiotroph",775,0.0419100151416829,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"30WLH2F","Unassigned",10503,0.567975340687865,"Pot-30","Wet","Low","Heterospecific",2,"Fungi"
"31WHC1F","Multi-trophic",6160,0.13843318800845,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC1F","Pathotroph",545,0.0122477414715268,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC1F","Saprotroph",11777,0.264663580385635,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC1F","Symbiotroph",461,0.0103600161805025,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC1F","Unassigned",25555,0.574295473953886,"Pot-31","Wet","High","Conspecific",1,"Fungi"
"31WHC2F","Multi-trophic",14241,0.273177188237325,"Pot-31","Wet","High","Conspecific",2,"Fungi"
"31WHC2F","Pathotroph",4274,0.0819857666263835,"Pot-31","Wet","High","Conspecific",2,"Fungi"
"31WHC2F","Saprotroph",16657,0.319521973489862,"Pot-31","Wet","High","Conspecific",2,"Fungi"
"31WHC2F","Symbiotroph",1361,0.0261073065930061,"Pot-31","Wet","High","Conspecific",2,"Fungi"
"31WHC2F","Unassigned",15598,0.299207765053423,"Pot-31","Wet","High","Conspecific",2,"Fungi"
"32WHC1F","Multi-trophic",3880,0.070113301649831,"Pot-32","Wet","High","Conspecific",1,"Fungi"
"32WHC1F","Pathotroph",1473,0.0266177560129384,"Pot-32","Wet","High","Conspecific",1,"Fungi"
"32WHC1F","Saprotroph",14275,0.257955510580242,"Pot-32","Wet","High","Conspecific",1,"Fungi"
"32WHC1F","Symbiotroph",232,0.00419234174813423,"Pot-32","Wet","High","Conspecific",1,"Fungi"
"32WHC1F","Unassigned",35479,0.641121090008855,"Pot-32","Wet","High","Conspecific",1,"Fungi"
"32WHC2F","Multi-trophic",2052,0.0635097493036212,"Pot-32","Wet","High","Conspecific",2,"Fungi"
"32WHC2F","Pathotroph",1795,0.0555555555555556,"Pot-32","Wet","High","Conspecific",2,"Fungi"
"32WHC2F","Saprotroph",7918,0.245063447848963,"Pot-32","Wet","High","Conspecific",2,"Fungi"
"32WHC2F","Symbiotroph",26,0.000804704425874342,"Pot-32","Wet","High","Conspecific",2,"Fungi"
"32WHC2F","Unassigned",20519,0.635066542865986,"Pot-32","Wet","High","Conspecific",2,"Fungi"
"33WHC1F","Multi-trophic",1872,0.0521143620723254,"Pot-33","Wet","High","Conspecific",1,"Fungi"
"33WHC1F","Pathotroph",28,0.00077948832159461,"Pot-33","Wet","High","Conspecific",1,"Fungi"
"33WHC1F","Saprotroph",14270,0.397260655326968,"Pot-33","Wet","High","Conspecific",1,"Fungi"
"33WHC1F","Symbiotroph",5201,0.144789955736199,"Pot-33","Wet","High","Conspecific",1,"Fungi"
"33WHC1F","Unassigned",14550,0.405055538542914,"Pot-33","Wet","High","Conspecific",1,"Fungi"
"33WHC2F","Multi-trophic",4800,0.15250683103514,"Pot-33","Wet","High","Conspecific",2,"Fungi"
"33WHC2F","Pathotroph",2216,0.0704073203278897,"Pot-33","Wet","High","Conspecific",2,"Fungi"
"33WHC2F","Saprotroph",16802,0.533837453135922,"Pot-33","Wet","High","Conspecific",2,"Fungi"
"33WHC2F","Symbiotroph",508,0.0161403062845523,"Pot-33","Wet","High","Conspecific",2,"Fungi"
"33WHC2F","Unassigned",7148,0.227108089216496,"Pot-33","Wet","High","Conspecific",2,"Fungi"
"34WHC1F","Multi-trophic",1607,0.0359564137560692,"Pot-34","Wet","High","Conspecific",1,"Fungi"
"34WHC1F","Pathotroph",126,0.00281923343700356,"Pot-34","Wet","High","Conspecific",1,"Fungi"
"34WHC1F","Saprotroph",19332,0.432550958763117,"Pot-34","Wet","High","Conspecific",1,"Fungi"
"34WHC1F","Symbiotroph",147,0.00328910567650415,"Pot-34","Wet","High","Conspecific",1,"Fungi"
"34WHC1F","Unassigned",23481,0.525384288367306,"Pot-34","Wet","High","Conspecific",1,"Fungi"
"34WHC2F","Multi-trophic",3964,0.0704598375371052,"Pot-34","Wet","High","Conspecific",2,"Fungi"
"34WHC2F","Pathotroph",4,7.10997351534866e-05,"Pot-34","Wet","High","Conspecific",2,"Fungi"
"34WHC2F","Saprotroph",33960,0.603636751453101,"Pot-34","Wet","High","Conspecific",2,"Fungi"
"34WHC2F","Symbiotroph",1344,0.0238895110115715,"Pot-34","Wet","High","Conspecific",2,"Fungi"
"34WHC2F","Unassigned",16987,0.301942800263069,"Pot-34","Wet","High","Conspecific",2,"Fungi"
"35WHC1F","Multi-trophic",2187,0.0715033021643889,"Pot-35","Wet","High","Conspecific",1,"Fungi"
"35WHC1F","Pathotroph",14,0.000457725756882234,"Pot-35","Wet","High","Conspecific",1,"Fungi"
"35WHC1F","Saprotroph",10239,0.334761001765514,"Pot-35","Wet","High","Conspecific",1,"Fungi"
"35WHC1F","Symbiotroph",4320,0.141241090695089,"Pot-35","Wet","High","Conspecific",1,"Fungi"
"35WHC1F","Unassigned",13826,0.452036879618126,"Pot-35","Wet","High","Conspecific",1,"Fungi"
"35WHC2F","Multi-trophic",6352,0.137787418655098,"Pot-35","Wet","High","Conspecific",2,"Fungi"
"35WHC2F","Pathotroph",93,0.00201735357917571,"Pot-35","Wet","High","Conspecific",2,"Fungi"
"35WHC2F","Saprotroph",13520,0.293275488069414,"Pot-35","Wet","High","Conspecific",2,"Fungi"
"35WHC2F","Symbiotroph",29,0.000629067245119306,"Pot-35","Wet","High","Conspecific",2,"Fungi"
"35WHC2F","Unassigned",26106,0.566290672451193,"Pot-35","Wet","High","Conspecific",2,"Fungi"
"36WHC1F","Multi-trophic",9318,0.300978713782745,"Pot-36","Wet","High","Conspecific",1,"Fungi"
"36WHC1F","Pathotroph",629,0.0203171937078071,"Pot-36","Wet","High","Conspecific",1,"Fungi"
"36WHC1F","Saprotroph",6708,0.216673665170064,"Pot-36","Wet","High","Conspecific",1,"Fungi"
"36WHC1F","Symbiotroph",12,0.00038760941890888,"Pot-36","Wet","High","Conspecific",1,"Fungi"
"36WHC1F","Unassigned",14292,0.461642817920475,"Pot-36","Wet","High","Conspecific",1,"Fungi"
"36WHC2F","Multi-trophic",17384,0.233872812151054,"Pot-36","Wet","High","Conspecific",2,"Fungi"
"36WHC2F","Pathotroph",793,0.0106684963205123,"Pot-36","Wet","High","Conspecific",2,"Fungi"
"36WHC2F","Saprotroph",3647,0.0490643204046764,"Pot-36","Wet","High","Conspecific",2,"Fungi"
"36WHC2F","Symbiotroph",670,0.00901373585717937,"Pot-36","Wet","High","Conspecific",2,"Fungi"
"36WHC2F","Unassigned",51837,0.697380635266578,"Pot-36","Wet","High","Conspecific",2,"Fungi"
"37WHC1F","Multi-trophic",1507,0.0488223669290828,"Pot-37","Wet","High","Conspecific",1,"Fungi"
"37WHC1F","Pathotroph",268,0.00868241163702336,"Pot-37","Wet","High","Conspecific",1,"Fungi"
"37WHC1F","Saprotroph",8496,0.275245407716979,"Pot-37","Wet","High","Conspecific",1,"Fungi"
"37WHC1F","Symbiotroph",78,0.00252697055107396,"Pot-37","Wet","High","Conspecific",1,"Fungi"
"37WHC1F","Unassigned",20518,0.66472284316584,"Pot-37","Wet","High","Conspecific",1,"Fungi"
"37WHC2F","Multi-trophic",1143,0.0316980504173715,"Pot-37","Wet","High","Conspecific",2,"Fungi"
"37WHC2F","Pathotroph",63,0.00174713663717796,"Pot-37","Wet","High","Conspecific",2,"Fungi"
"37WHC2F","Saprotroph",17786,0.493247178235669,"Pot-37","Wet","High","Conspecific",2,"Fungi"
"37WHC2F","Symbiotroph",306,0.00848609223772151,"Pot-37","Wet","High","Conspecific",2,"Fungi"
"37WHC2F","Unassigned",16761,0.46482154247206,"Pot-37","Wet","High","Conspecific",2,"Fungi"
"38WHC1F","Multi-trophic",7439,0.204795727342804,"Pot-38","Wet","High","Conspecific",1,"Fungi"
"38WHC1F","Pathotroph",11,0.000302830084792424,"Pot-38","Wet","High","Conspecific",1,"Fungi"
"38WHC1F","Saprotroph",2935,0.0808005726241603,"Pot-38","Wet","High","Conspecific",1,"Fungi"
"38WHC1F","Symbiotroph",25,0.000688250192710054,"Pot-38","Wet","High","Conspecific",1,"Fungi"
"38WHC1F","Unassigned",25914,0.713412619755533,"Pot-38","Wet","High","Conspecific",1,"Fungi"
"38WHC2F","Multi-trophic",15584,0.306741462454483,"Pot-38","Wet","High","Conspecific",2,"Fungi"
"38WHC2F","Pathotroph",232,0.00456647967719713,"Pot-38","Wet","High","Conspecific",2,"Fungi"
"38WHC2F","Saprotroph",9088,0.178880031492963,"Pot-38","Wet","High","Conspecific",2,"Fungi"
"38WHC2F","Symbiotroph",1878,0.0369648656628285,"Pot-38","Wet","High","Conspecific",2,"Fungi"
"38WHC2F","Unassigned",24023,0.472847160712528,"Pot-38","Wet","High","Conspecific",2,"Fungi"
"39WHC1F","Multi-trophic",2866,0.0764796925868602,"Pot-39","Wet","High","Conspecific",1,"Fungi"
"39WHC1F","Pathotroph",34,0.000907295725036025,"Pot-39","Wet","High","Conspecific",1,"Fungi"
"39WHC1F","Saprotroph",28739,0.766905054170892,"Pot-39","Wet","High","Conspecific",1,"Fungi"
"39WHC1F","Symbiotroph",58,0.00154773976623792,"Pot-39","Wet","High","Conspecific",1,"Fungi"
"39WHC1F","Unassigned",5777,0.154160217750974,"Pot-39","Wet","High","Conspecific",1,"Fungi"
"39WHC2F","Multi-trophic",6101,0.142360462945679,"Pot-39","Wet","High","Conspecific",2,"Fungi"
"39WHC2F","Pathotroph",1495,0.0348842635803621,"Pot-39","Wet","High","Conspecific",2,"Fungi"
"39WHC2F","Saprotroph",8090,0.188771700578682,"Pot-39","Wet","High","Conspecific",2,"Fungi"
"39WHC2F","Symbiotroph",1915,0.0446845249206645,"Pot-39","Wet","High","Conspecific",2,"Fungi"
"39WHC2F","Unassigned",25255,0.589299047974613,"Pot-39","Wet","High","Conspecific",2,"Fungi"
"3WLC1F","Multi-trophic",1856,0.04845193964392,"Pot-3","Wet","Low","Conspecific",1,"Fungi"
"3WLC1F","Pathotroph",0,0,"Pot-3","Wet","Low","Conspecific",1,"Fungi"
"3WLC1F","Saprotroph",15410,0.402286848013366,"Pot-3","Wet","Low","Conspecific",1,"Fungi"
"3WLC1F","Symbiotroph",0,0,"Pot-3","Wet","Low","Conspecific",1,"Fungi"
"3WLC1F","Unassigned",21040,0.549261212342714,"Pot-3","Wet","Low","Conspecific",1,"Fungi"
"3WLC2F","Multi-trophic",22487,0.487734519032643,"Pot-3","Wet","Low","Conspecific",2,"Fungi"
"3WLC2F","Pathotroph",0,0,"Pot-3","Wet","Low","Conspecific",2,"Fungi"
