OTU,Taxonomy,taxon,guid,mbNumber,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait
ad2fdd3a85b0f868191173d0b0695c73,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cistella;s__Cistella_sp,Cistella,1CB182D0-36B9-11D5-9548-00D0592D548C,1069,13,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Microfungus,NULL
c06dca33c44e80a63c82e75b5be8cd86,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus_sp,Rhizophagus,1CB1CAF7-36B9-11D5-9548-00D0592D548C,20482,13,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Microfungus,NULL
a9b54be2960f57595914b1efee00b138,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_koreensis,Arthrobotrys,1CB17E12-36B9-11D5-9548-00D0592D548C,7217,13,Pathotroph-Saprotroph,|Animal Parasite|-Dung Saprotroph-Nematophagous-Wood Saprotroph,Probable,Microfungus,NULL
72c6b23e6e129982fa5ccb88e7ba3a8a,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora,Cyphellophora,1CB1C5C7-36B9-11D5-9548-00D0592D548C,7885,13,Pathotroph-Saprotroph,Animal Parasite-Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Dimorphic-Facultative Yeast-Microfungus,NULL
ef46ec73099347722cf91ff1bee30049,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Dactylella;s__Dactylella_sp,Dactylella,1CB1C5D8-36B9-11D5-9548-00D0592D548C,7918,13,Saprotroph,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Microfungus,NULL
cd3620da2110e5d964907734ce6f9e5e,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis,NA,NA,NA,NA,NA,NA,NA,NA,NA
c77d168d454c013c802a4ada5ebe5d79,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaeta;s__Pyrenochaeta_sp,Pyrenochaeta,1CB1A0CF-36B9-11D5-9548-00D0592D548C,9667,13,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Highly Probable,Microfungus,Soft Rot
8b2aa9ea4055195a327daa90f1c07c5f,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA
a92bcb622bb266d15498da179ff4c743,k__Fungi;p__Ascomycota;c__Dothideomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA
5973b73885a45ec80b9c9714b4435431,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Harposporium,Harposporium,1CB18933-36B9-11D5-9548-00D0592D548C,8454,13,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Microfungus,NULL
82118b570006060cacb06b33a0751781,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium,Fusarium,1CB188FE-36B9-11D5-9548-00D0592D548C,8284,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot
8ce08f5a63c413f35a5b3759cf6f2992,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__Neosetophoma_buxi,Neosetophoma,80CA7AE8-8B9E-4E3C-8CE8-394B3163A674,514648,13,Saprotroph-Symbiotroph,Endophyte-|Plant Saprotroph|-Undefined Saprotroph,Probable,Microfungus,NULL
9f557d40df35f0c0978091b17fcdc777,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Spermospora;s__Spermospora_zeae,Spermospora,1CB1CB81-36B9-11D5-9548-00D0592D548C,9970,13,Pathotroph,|Plant Pathogen|,Probable,Microfungus,NULL
7eae6ed747bedc6a47572a190aa5770f,k__Fungi;p__Ascomycota,NA,NA,NA,NA,NA,NA,NA,NA,NA
1cbd4a8a7e037e6ea3baacc10ac6e08e,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_chernovii,Filobasidium,3CBD5388-8494-45D1-8790-A0713070C68B,16130,13,Saprotroph,|Undefined Saprotroph|,Highly Probable,Dimorphic-Facultative Yeast,NULL
2a19ee960c01e8eb74e7670853109519,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Lentitheciaceae_gen_Incertae_sedis;s__Lentitheciaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
354e5fc49cc596c5273cf06ab393994c,k__Fungi;p__Basidiomycota;c__Agaricomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA
e3ba9a52c9e63ed40148a3757005031e,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Hemimycena;s__Hemimycena_subimmaculata,Hemimycena,1CB1C7AE-36B9-11D5-9548-00D0592D548C,17734,13,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Agaricoid,NULL
1f13d9ba378e414ce2708e7cab16dd53,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__Serendipita_sp,Serendipita,9597D21B-8566-4B87-B888-F7D578F17392,22442,13,Saprotroph-Symbiotroph,Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph,Highly Probable,Microfungus,NULL
aa52e53101323b1d05f8c4c6834dd1e2,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium,Fusarium,1CB188FE-36B9-11D5-9548-00D0592D548C,8284,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot
ae93ea83ac38a66335d56cee3b7ac634,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis_mosseae,Funneliformis,5BC87D7D-6141-49A9-8DD9-8B433C81FAA1,542894,13,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Microfungus,NULL
db54a1e37e9d413560690921568662ba,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Calyptella;s__Calyptella_sp,Calyptella,1CB1C553-36B9-11D5-9548-00D0592D548C,17226,13,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Probable,Agaricoid,NULL
05103bd02bf280ace3334412ea9d5e45,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Achroiostachys,Achroiostachys,1CB3E5EB-CC04-41C5-96E9-F24F9A163EA5,815916,13,Saprotroph,Plant Saprotroph-|Undefined Saprotroph|,Possible,Microfungus,NULL
211ab004af877395e2d7d1048dd4fa67,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Savoryellales;f__Savoryellaceae;g__Savoryella;s__Savoryella_sp,Savoryella,39EF232E-9DDD-475F-843D-64636EB80A8A,4870,13,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Microfungus,NULL
b7e7581148b58c10a03bf40ebda79641,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA
29a8dbf33dd842382f811771519c2e71,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_nimbosa,Mortierellaceae,3BD31551-4295-4664-858B-8E44073A293E,816415,9,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Possible,Microfungus,NULL
6a0e3aee96bfc2772cd53575935a9820,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria,Alternaria,1CB17D15-36B9-11D5-9548-00D0592D548C,7106,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot
2b03aae15f42b53ba1384634d08cb6cb,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Biappendiculispora;s__Biappendiculispora_sp,Biappendiculispora,CE1953D2-716A-4F02-ACC6-83FDD37F5249,551528,13,Saprotroph,|Plant Saprotroph|,Highly Probable,Microfungus,NULL
dd53217d6ff6f4c5eef8dd17874c8999,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora_sp,Cercospora,1CB1C60B-36B9-11D5-9548-00D0592D548C,7545,13,Pathotroph,|Plant Pathogen|,Probable,Microfungus,NULL
7d727a428792fb6a09e8f220cbaca0aa,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Testudinaceae;g__Testudinaceae_gen_Incertae_sedis;s__Testudinaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
84f6998f9b93aef37ee9f2ca8995f0cd,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_lapis,Mortierella,1CB19427-36B9-11D5-9548-00D0592D548C,20345,13,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Probable,Microfungus,NULL
34752cd6e43ebc50e7dcf3a6ee83722e,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_plurivora,Plectosphaerella,1CB1CA3C-36B9-11D5-9548-00D0592D548C,4197,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Microfungus,NULL
9a13cde63c6bf8c523f4f6898b7ce61b,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_heimaeyensis,Vishniacozyma,45266574-1EE5-4A93-B0A6-2885A7F45AE1,813272,13,Saprotroph,|Undefined Saprotroph|,Probable,Yeast,NULL
b2a05089fbfba1cd8284d72886e80ce3,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__Serendipita_sp,Serendipita,9597D21B-8566-4B87-B888-F7D578F17392,22442,13,Saprotroph-Symbiotroph,Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph,Highly Probable,Microfungus,NULL
919c4c9bffb11939b73c5738951d4428,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA
3494bf92fca823401051bcff92fd1bed,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Dissoconiaceae;g__Dissoconium,Dissoconium,1CB1C6C8-36B9-11D5-9548-00D0592D548C,11074,13,Pathotroph-Saprotroph,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Probable,Microfungus,NULL
420f4b9d5d4c17478df07d728e3e9188,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Hemimycena;s__Hemimycena_subimmaculata,Hemimycena,1CB1C7AE-36B9-11D5-9548-00D0592D548C,17734,13,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Agaricoid,NULL
177eb91c8a0b93f4ccb1cf1b60c75c71,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a6b98415a5e77c9d0ec58b723c69843,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp,Hypocreales,1CB18E60-36B9-11D5-9548-00D0592D548C,90477,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL
694afa72da35208b93d6307d0afcc1d8,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Testudinaceae;g__Testudinaceae_gen_Incertae_sedis;s__Testudinaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
22fa5b7d50ebda43e46f0dd9ac56e656,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiaceae_gen_Incertae_sedis;s__Sporormiaceae_sp,Sporormiaceae,1CB1CDD8-36B9-11D5-9548-00D0592D548C,81414,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,Microfungus,NULL
4fdabc2187e40177e9d481e58e6f8e65,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_roseopurpureum,Penicillium,1CB1C9C1-36B9-11D5-9548-00D0592D548C,9257,13,Pathotroph-Saprotroph-Symbiotroph,Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph,Highly Probable,Microfungus,Soft Rot
94f2cd3c6f34e577e081654cee2f2c96,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,Didymellaceae,F971F4FB-F68A-481E-B5F1-2BF2B753AA5D,508292,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL
3ba4a04814377facbfa819d2e5175463,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA
dfb6d38195f44945c16106c58268d49d,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_radicina,Paraphoma,0137516B-8BD4-45BF-9368-E16312909A70,25835,13,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Probable,Microfungus,NULL
41f99f95cd2352dcba43e38f3681cc47,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola_sp,Leohumicola,FFF3FDAA-784F-41C0-AF4B-12069962ABF7,500248,13,Saprotroph-Symbiotroph,Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|,Probable,Microfungus,NULL
a9dbbcc83ad2537b4872125055400f7d,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus,Rhizophagus,1CB1CAF7-36B9-11D5-9548-00D0592D548C,20482,13,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Microfungus,NULL
ef0ec794d389586326dd3f1da875035f,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales,NA,NA,NA,NA,NA,NA,NA,NA,NA
f3f2771cd358d2e061667c8b206c444b,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Stachybotryaceae_gen_Incertae_sedis;s__Stachybotryaceae_sp,Hypocreales,1CB18E60-36B9-11D5-9548-00D0592D548C,90477,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL
363897ce7311b1ec4d318aa94bd02293,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_terricola,Preussia,1CB1CA81-36B9-11D5-9548-00D0592D548C,4363,13,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Probable,Microfungus,NULL
fdb0d4aa1d2c914f92d1d933d0d07664,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Apiosordaria;s__Apiosordaria_sp,Apiosordaria,1CB1C493-36B9-11D5-9548-00D0592D548C,262,13,Saprotroph,|Dung Saprotroph|-Undefined Saprotroph,Highly Probable,Microfungus,NULL
42551b4639aff66a99540d847c077369,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium,Purpureocillium,D1613AF8-1A23-429D-A4DE-D1610DAFF28E,519529,13,Pathotroph-Saprotroph,|Animal Parasite|-Fungal Parasite-Undefined Saprotroph,Probable,Microfungus,NULL
8efd5c16c20117e065b270a2c671b98f,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Tetracladium;s__Tetracladium_sp,Tetracladium,1CB1CBE6-36B9-11D5-9548-00D0592D548C,10191,13,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Microfungus,NULL
6a68c24698211d69cd420e0aa0c773c7,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_floriforme,Filobasidium,3CBD5388-8494-45D1-8790-A0713070C68B,16130,13,Saprotroph,|Undefined Saprotroph|,Highly Probable,Dimorphic-Facultative Yeast,NULL
80ae0d452c3649b08e308c50d2981319,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_psychrotolerans,Vishniacozyma,45266574-1EE5-4A93-B0A6-2885A7F45AE1,813272,13,Saprotroph,|Undefined Saprotroph|,Probable,Yeast,NULL
0e0371d2cdeb6bd83ef2e4ab0e7d59c3,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Tetrapyrgos;s__Tetrapyrgos_atrocyanea,Tetrapyrgos,1CB1CBE9-36B9-11D5-9548-00D0592D548C,25145,13,Saprotroph,|Plant Saprotroph|-Undefined Saprotroph,Probable,Agaricoid,NULL
4082ec400fad6283685b299998e9d1d2,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_andiyazi,Fusarium,1CB188FE-36B9-11D5-9548-00D0592D548C,8284,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot
2c22b6e8097a4ba8b7bb5a3689479cad,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales;f__Minutisphaeraceae;g__Minutisphaera;s__Minutisphaera_sp,Minutisphaera,7B77A800-7070-47A2-9DEE-7068B8E0EA72,518355,13,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Microfungus,NULL
04762bb6f9639b431bd6bfbe4bf58fd9,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Striaticonidium;s__Striaticonidium_brachysporum,Striaticonidium,21F13AEE-10E1-4631-B163-E2051B7A2337,816042,13,Saprotroph,|Undefined Saprotroph|,Probable,Microfungus,NULL
a3b0c8c314608689716b58e3fb7d9e6f,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA
5dcaad4f3d7ea69acaa5440c14f251c9,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pseudomassarinaceae;g__Pseudomassarina;s__Pseudomassarina_clematidis,Pseudomassarina,05575E59-6D62-4CA3-B7AC-FB847186BD2B,557097,13,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Microfungus,NULL
0b55ac614e7abb5e10a30f3fa71e3861,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Mirandina;s__Mirandina_sp,Mirandina,6490B3D7-4316-4BAD-9CE3-D54EFBEEA561,30616,13,Saprotroph,|Plant Saprotroph|,Probable,Microfungus,NULL
d1af6280453d7af3784d43dde46c43ba,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium;s__Myrmecridium_schulzeri,Myrmecridium schulzeri,A9FD7CE0-959D-49ED-AD09-3F8ACB4EEBDF,504560,20,Symbiotroph,Endophyte,Highly Probable,NULL,NULL
d35d1562311d4cf450a642426b963521,k__Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA
4c99c1540f81dc41325414a95354c52e,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp,Archaeorhizomyces,0F9DE1D2-B4EC-400D-967F-922D55082CB4,561765,13,Saprotroph,|Undefined Saprotroph|,Probable,Microfungus,NULL
7a9bae337c635dd97866b383d7dc3f7c,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Ophioceraceae;g__Ophioceraceae_gen_Incertae_sedis;s__Ophioceraceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
50f1ff27bf28e7532003cb8782b7e861,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus_sp,Rhizophagus,1CB1CAF7-36B9-11D5-9548-00D0592D548C,20482,13,Symbiotroph,|Arbuscular Mycorrhizal|-Endophyte,Highly Probable,Microfungus,NULL
99c48194bd1d3f83a14381666fcc6a4f,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Calloriaceae;g__Calloriaceae_gen_Incertae_sedis;s__Calloriaceae_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
f44c621fc913e47f97b8cd4891675cd2,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfcfd995dbc89e2ad840edea9d442509,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea,Darksidea,E38D4BF5-6E0A-4620-A43E-ADA3D590744A,810760,13,Saprotroph-Symbiotroph,|Endophyte|-Undefined Saprotroph,Highly Probable,Microfungus,NULL
7eb7c65cdcaa34253131e1c6f51731b4,k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Pezizomycotina_gen_Incertae_sedis;s__Pezizomycotina_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA
